billet_code,title,desk,capability,catalog_revision,exercise
SG-1,Relay Technician,Signals,SIGNALS,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
SG-2,Bridge Systems Technician,Signals,SIGNALS,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
SG-4,Antenna Rigger,Signals,SIGNALS,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
SG-9,Signals Desk Clerk (stores custodian),Signals,SUPPLY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MV-1,Serial Commander,Movement,MOVEMENT,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MV-2,Convoy Escort,Movement,MOVEMENT,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MV-3,Checkpoint Controller,Movement,MOVEMENT,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MV-7,Route Survey Observer,Movement,IMAGERY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MD-1,Aid Station Medic,Aid Station,MEDICAL,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
MD-2,Casualty Evacuation Medic,Aid Station,MEDICAL,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
SP-1,Supply Clerk,Supply,SUPPLY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
SP-5,Fuel Handler,Supply,SUPPLY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
IM-1,Imagery Analyst,Imagery,IMAGERY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
IM-3,Feed Operator,Imagery,IMAGERY,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
LN-1,Partner Liaison Officer,Liaison,LIAISON,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
LN-2,Interpreter,Liaison,LIAISON,2026-06-30,NORTHWIND SHELF (SYNTHETIC)
