# Basin gauge series. Daily mean stage, metres above station datum.
# Basin Hydrology Cell. Observed rows to 2026-08-22; forecast rows 2026-09-01 to 2026-12-31. No rows for 23 to 31 August 2026.
# EXERCISE NORTHWIND SHELF - TRAINING SYNTHETIC. All stations, assets and readings are invented.
station_id,station_name,date,gauge_m,basis,quality
SEL-01,Upper Selwyn at Marrow,2022-01-01,1.36,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-01-02,1.29,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-03,1.45,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-04,1.31,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-05,1.41,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-06,1.25,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-07,1.48,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-08,1.34,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-09,1.28,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-10,1.43,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-11,1.38,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-12,1.22,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-13,1.42,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-14,1.32,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-15,1.47,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-16,1.27,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-17,1.39,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-18,1.44,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-19,1.30,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-20,1.35,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-21,1.46,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-22,1.26,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-23,1.37,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-24,1.40,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-25,1.23,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-26,1.49,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-27,1.33,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-28,1.43,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-29,1.29,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-30,1.36,observed,good
SEL-01,Upper Selwyn at Marrow,2022-01-31,1.36,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-01,1.24,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-02,1.40,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-03,1.26,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-04,1.36,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-05,1.20,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-06,1.43,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-07,1.29,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-02-08,1.23,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-09,1.38,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-10,1.33,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-11,1.17,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-12,1.37,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-13,1.27,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-14,1.42,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-15,1.22,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-16,1.34,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-17,1.39,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-18,1.25,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-19,1.30,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-20,1.41,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-21,1.21,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-22,1.32,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-23,1.35,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-24,1.18,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-25,1.44,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-26,1.28,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-27,1.38,observed,good
SEL-01,Upper Selwyn at Marrow,2022-02-28,1.24,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-01,1.46,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-02,1.46,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-03,1.39,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-04,1.55,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-05,1.41,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-06,1.51,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-07,1.35,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-08,1.58,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-09,1.44,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-10,1.38,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-11,1.53,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-12,1.48,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-13,1.32,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-14,1.52,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-15,1.42,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-16,1.57,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-03-17,1.37,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-18,1.49,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-19,1.54,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-20,1.40,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-21,1.45,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-22,1.56,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-23,1.36,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-24,1.47,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-25,1.50,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-26,1.33,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-27,1.59,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-28,1.43,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-29,1.53,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-30,1.39,observed,good
SEL-01,Upper Selwyn at Marrow,2022-03-31,1.46,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-01,1.61,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-02,1.54,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-03,1.70,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-04,1.56,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-05,1.66,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-06,1.50,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-07,1.73,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-08,1.59,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-09,1.53,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-10,1.68,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-11,1.63,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-12,1.47,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-13,1.67,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-14,1.57,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-15,1.72,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-16,1.52,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-17,1.64,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-18,1.69,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-19,1.55,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-20,1.60,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-21,1.71,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-22,1.51,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-04-23,1.62,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-24,1.65,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-25,1.48,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-26,1.74,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-27,1.58,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-28,1.68,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-29,1.54,observed,good
SEL-01,Upper Selwyn at Marrow,2022-04-30,1.61,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-01,1.56,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-02,1.49,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-03,1.65,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-04,1.51,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-05,1.61,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-06,1.45,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-07,1.68,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-08,1.54,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-09,1.48,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-10,1.63,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-11,1.58,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-12,1.42,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-13,1.62,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-14,1.52,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-15,1.67,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-16,1.47,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-17,1.59,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-18,1.64,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-19,1.50,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-20,1.55,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-21,1.66,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-22,1.46,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-23,1.57,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-24,1.60,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-25,1.43,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-26,1.69,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-27,1.53,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-28,1.63,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-29,1.49,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-05-30,1.56,observed,good
SEL-01,Upper Selwyn at Marrow,2022-05-31,1.56,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-01,1.64,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-02,1.80,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-03,1.66,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-04,1.76,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-05,1.60,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-06,1.83,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-07,1.69,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-08,1.63,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-09,1.78,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-10,1.73,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-11,1.57,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-12,1.77,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-13,1.67,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-14,1.82,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-15,1.62,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-16,1.74,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-17,1.79,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-18,1.65,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-19,1.70,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-20,1.81,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-21,1.61,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-22,1.72,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-23,1.75,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-24,1.58,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-25,1.84,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-26,1.68,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-27,1.78,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-28,1.64,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-29,1.71,observed,good
SEL-01,Upper Selwyn at Marrow,2022-06-30,1.71,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-01,1.74,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-02,1.90,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-03,1.76,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-04,1.86,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-05,1.70,observed,estimated
SEL-01,Upper Selwyn at Marrow,2022-07-06,1.93,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-07,1.79,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-08,1.73,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-09,1.88,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-10,1.83,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-11,1.67,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-12,1.87,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-13,1.77,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-14,1.92,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-15,1.72,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-16,1.84,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-17,1.89,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-18,1.75,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-19,1.80,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-20,1.91,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-21,1.71,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-22,1.82,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-23,1.85,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-24,1.68,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-25,1.94,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-26,1.78,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-27,1.88,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-28,1.74,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-29,1.81,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-30,1.81,observed,good
SEL-01,Upper Selwyn at Marrow,2022-07-31,1.74,observed,good
SEL-01,Upper Selwyn at Marrow,2022-08-01,2.05,observed,good
SEL-01,Upper Selwyn at Marrow,2022-08-02,1.91,observed,good
SEL-01,Upper Selwyn at Marrow,2022-08-03,2.01,observed,good
