# Estate surface temperature export. Three-hourly, degrees Celsius.
# Basin Met Cell. Summer season only (1 Jun to 30 Sep) for each year held.
# EXERCISE NORTHWIND SHELF - TRAINING SYNTHETIC. All stations, assets and readings are invented.
sensor_id,asset,date,hour_utc,surface_temp_c
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,0000,13.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,0300,11.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,0600,12.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,0900,21.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,1200,30.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,1500,35.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,1800,27.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-01,2100,18.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,0000,12.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,0300,10.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,0600,11.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,0900,20.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,1200,29.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,1500,34.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,1800,26.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-02,2100,17.3
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,0000,15.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,0300,13.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,0600,14.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,0900,23.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,1200,32.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,1500,37.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,1800,29.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-03,2100,20.8
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,0000,12.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,0300,10.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,0600,11.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,0900,20.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,1200,29.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,1500,34.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,1800,26.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-04,2100,17.7
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,0000,14.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,0300,12.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,0600,13.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,0900,22.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,1200,31.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,1500,36.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,1800,28.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-05,2100,19.9
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,0000,11.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,0300,9.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,0600,10.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,0900,19.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,1200,28.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,1500,33.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,1800,25.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-06,2100,16.4
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-07,0000,16.5
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-07,0300,14.5
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-07,0600,15.5
SLW-DECK-02,"Selwyn Bridge, mid-span north lane",2024-06-07,0900,24.5
