# Movement serial history. One row per serial run. Movement Desk record.
# EXERCISE NORTHWIND SHELF - TRAINING SYNTHETIC. All units, places and events are invented.
serial,date,route,vehicles,departed_utc,closed_utc,heaviest_t,delay_min,remarks
26/001,2025-01-08,AMBER,41,0509,1214,18.2,0,clean run
26/002,2025-01-14,CINDER,18,0647,1704,6.9,0,clean run
26/003,2025-01-20,AMBER,39,0653,1605,11.8,37,surface water at the Marrow Cut
26/004,2025-01-26,AMBER,43,0617,1413,11.8,21,surface water at the Marrow Cut
26/005,2025-02-01,AMBER,16,0641,1413,11.8,37,dust and poor visibility through the defile
26/006,2025-02-07,CINDER,29,0447,1617,11.8,33,waited on staging at Node D
26/007,2025-02-13,AMBER,28,0543,1449,18.2,51,dust and poor visibility through the defile
26/008,2025-02-19,AMBER,42,0537,1425,21.6,63,dust and poor visibility through the defile
26/009,2025-02-25,AMBER,35,0517,1249,18.2,17,escort late to the start point
26/010,2025-03-03,CINDER,36,0413,1539,6.9,33,waited on staging at Node D
26/011,2025-03-09,AMBER,41,0609,1259,21.6,0,clean run
26/012,2025-03-15,AMBER,25,0547,1419,18.2,57,escort late to the start point
26/013,2025-03-21,AMBER,28,0653,1537,3.4,49,dust and poor visibility through the defile
26/014,2025-03-27,CINDER,24,0517,1647,3.4,53,waited on staging at Node D
26/015,2025-04-02,AMBER,36,0641,1435,6.9,69,dust and poor visibility through the defile
26/016,2025-04-08,AMBER,30,0647,1421,3.4,19,dust and poor visibility through the defile
26/017,2025-04-14,AMBER,24,0543,1427,3.4,79,surface water at the Marrow Cut
26/018,2025-04-20,CINDER,34,0537,1541,11.8,57,"stood down, river up"
26/019,2025-04-26,AMBER,43,0617,1453,11.8,21,surface water at the Marrow Cut
26/020,2025-05-02,AMBER,40,0513,1445,11.8,67,dust and poor visibility through the defile
26/021,2025-05-08,AMBER,32,0509,1154,6.9,0,clean run
26/022,2025-05-14,CINDER,26,0647,1757,6.9,53,waited on staging at Node D
26/023,2025-05-20,AMBER,18,0653,1439,18.2,11,dust and poor visibility through the defile
26/024,2025-05-26,AMBER,30,0517,1332,18.2,0,clean run
26/025,2025-06-01,AMBER,18,0641,1619,21.6,63,dust and poor visibility through the defile
26/026,2025-06-07,CINDER,37,0547,1737,3.4,53,waited on staging at Node D
26/027,2025-06-13,AMBER,21,0643,1338,6.9,0,clean run
26/028,2025-06-19,AMBER,31,0537,1311,3.4,29,dust and poor visibility through the defile
26/029,2025-06-25,AMBER,41,0617,1445,21.6,63,dust and poor visibility through the defile
26/030,2025-07-01,CINDER,20,0613,1759,3.4,53,waited on staging at Node D
26/031,2025-07-07,AMBER,41,0509,1214,18.2,0,clean run
26/032,2025-07-13,AMBER,18,0647,1507,6.9,75,surface water at the Marrow Cut
26/033,2025-07-19,AMBER,39,0653,1605,11.8,37,surface water at the Marrow Cut
26/034,2025-07-25,CINDER,43,0617,1715,6.9,21,"stood down, river up"
26/035,2025-07-31,AMBER,16,0641,1413,11.8,37,dust and poor visibility through the defile
26/036,2025-08-06,AMBER,29,0447,1215,21.6,33,held 20 min for a broken-down civilian vehicle
26/037,2025-08-12,AMBER,28,0543,1449,18.2,51,dust and poor visibility through the defile
26/038,2025-08-18,CINDER,42,0537,1547,11.8,63,waited on staging at Node D
26/039,2025-08-24,AMBER,35,0517,1249,18.2,17,escort late to the start point
26/040,2025-08-30,AMBER,36,0413,1058,6.9,0,clean run
26/041,2025-09-05,AMBER,41,0609,1259,21.6,0,clean run
26/042,2025-09-11,CINDER,25,0547,1701,3.4,57,"stood down, river up"
26/043,2025-09-17,AMBER,28,0653,1537,3.4,49,dust and poor visibility through the defile
26/044,2025-09-23,AMBER,24,0517,1415,21.6,53,escort late to the start point
26/045,2025-09-29,AMBER,36,0641,1435,6.9,69,dust and poor visibility through the defile
26/046,2025-10-05,CINDER,30,0647,1803,6.9,19,"held outside the gate, staging full"
26/047,2025-10-11,AMBER,24,0543,1427,3.4,79,surface water at the Marrow Cut
26/048,2025-10-17,AMBER,34,0537,1429,18.2,57,surface water at the Marrow Cut
26/049,2025-10-23,AMBER,43,0617,1453,11.8,21,surface water at the Marrow Cut
26/050,2025-10-29,CINDER,40,0513,1713,11.8,67,"stood down, river up"
26/051,2025-11-04,AMBER,32,0509,1154,6.9,0,clean run
26/052,2025-11-10,AMBER,26,0647,1445,21.6,53,dust and poor visibility through the defile
26/053,2025-11-16,AMBER,18,0653,1439,18.2,11,dust and poor visibility through the defile
26/054,2025-11-22,CINDER,30,0517,1631,3.4,37,"stood down, river up"
26/055,2025-11-28,AMBER,18,0641,1619,21.6,63,dust and poor visibility through the defile
26/056,2025-12-04,AMBER,37,0547,1432,21.6,0,clean run
26/057,2025-12-10,AMBER,21,0643,1338,6.9,0,clean run
